IdEvent,Posesion,IdGame,IdTeam,IdFrame,DtGame,IdBallPossession,IdSeason,IdCompetition,IdPeriod,IdEventLocal,IdEventType,NaEventType,IdTeamOwning,TeamName,RivalName,IsHomeTeam,IdHomeTeam,IdAwayTeam,NaHomeTeam,NaAwayTeam,IdPlayer,NaPlayer,NaPosition,Minute,Second,Outcome,x,y,VlOptaX,VlOptaY,end_x,end_y,next_IdTeam,New_Outcome,previous_event,head_info,clearance_info,clean_event,next_event,next_events,QtGoalsHome,QtGoalsAway,DsMatchStatus,IdTeamRival,formacion,formacion_rival,time_seconds,lag_team,mismo_equipo,cambio_de_posesion,Posesion_id,opponents_close_to_cone,opponents_close_to_player,player_distance_received_pass,id_receiving_player,pass_reception_frame,long_ball,cross,head_pass,through_ball,corner_taken,fast_break,own_goal,second_yellow,red_card,blocked,throw_in,goal_kick,chipped,lay_off,launch,assist,length,in_swinger,out_swing,straight,is_loss,is_rec,counterpress_5s_flag,save_id,Blocked_x_co-ordinate,Blocked_y_co-ordinate,Deflection,GK_X_Coordinate,GK_Y_Coordinate,Keeper_Saved,xg,xgot
2853356279,2571546_2_169_LaLiga2,2571546,5683,2034388,2025-09-28T20:00:00.000Z,2034343-2034651,2025,102,2,580,8,Interception,5683,Granada,Huesca,0,2894,5683,Huesca,Granada,561303,Pau Casadesús,Defender,74,37,1,50.6,6.2,49.4,93.8,50.6,6.2,2894,1,Pass,null,Foot Clearance,Clean,BallDrive,BallDrive | Pass | Ball recovery,0,1,away_winning,2894,433,343,4477,2894,false,1,169,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,true,0,2025_102_2571546_580,null,null,null,null,null,null,null,null
2865015713,2571588_2_120_LaLiga2,2571588,180,2017067,2025-10-26T20:00:00.000Z,2016929-2017073,2025,102,2,601,15,Attempt Saved,180,Deportivo de La Coruña,Real Valladolid,1,180,192,Deportivo de La Coruña,Real Valladolid,445971,Samuele Mulattieri,Forward,65,1,1,77.4,63.4,77.4,63.4,100,50.6,192,1,Save,null,Foot Clearance,Clean,Corner Awarded,Corner Awarded | Pass | Attempt Saved,0,1,away_winning,192,532,442,3901,180,true,0,120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571588_601,98.9,50.7,0,96.65717,51.58358,0,0.07907725870609283,0.034361790865659714
2856425089,2571557_2_122_LaLiga2,2571557,190,1378481,2025-10-05T13:00:00.000Z,1378385-1378978,2025,102,2,486,5,Out,190,Real Zaragoza,Córdoba,1,190,952,Real Zaragoza,Córdoba,223770,Dani Gómez,Forward,63,38,0,100.8,59.2,100.8,59.2,null,null,190,0,Out,null,Foot Clearance,Clean,Pass,Pass | Pass | Pass,0,0,draw,952,433,433,3818,190,true,0,122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571557_486,null,null,null,null,null,null,null,null
2835894513,2571941_1_211_LaLiga2,2571941,173,1991574,2025-08-16T20:30:00.000Z,1991527-1993453,2025,23,1,316,1,Pass,173,Alavés,Levante,1,173,855,Alavés,Levante,179271,Carles Aleñá,Midfielder,35,55,1,91.9,20.3,8.099999999999994,79.7,95.9,52.4,173,1,Pass,null,Foot Clearance,Clean,Goal,Goal | Deleted event | BallDrive,0,0,draw,855,4141,541,2155,173,true,0,211,7,3,1.55769,178867,1991592,null,-1,null,null,null,null,null,null,null,null,null,null,-1,null,null,16,22.2,-1,null,null,false,false,0,2025_23_2571941_316,null,null,null,null,null,null,null,null
2856648791,2572013_2_258_LaLiga2,2572013,179,1646403,2025-10-05T15:15:00.000Z,1646362-1648885,2025,23,2,662,1,Pass,179,Sevilla,Barcelona,1,179,178,Sevilla,Barcelona,72154,Nemanja Gudelj,Midfielder,95,40,1,27.5,53.2,27.5,53.2,36.6,57.3,179,1,Pass,null,Foot Clearance,Clean,Pass,Pass | Pass | Goal,3,1,home_winning,178,4231,4231,5740,179,true,0,258,0,0,2.43212,493086,1646426,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10.0,null,null,null,false,false,0,2025_23_2572013_662,null,null,null,null,null,null,null,null
2863290473,2571590_2_34_LaLiga2,2571590,407,1947463,2025-10-24T19:30:00.000Z,1947388-1947469,2025,102,2,513,1,Pass,407,Las Palmas,Huesca,0,2894,407,Huesca,Las Palmas,607463,Lorenzo Amatucci,Midfielder,50,10,1,72.3,52.4,27.700000000000003,47.6,87.4,65.9,407,1,Pass,null,Foot Clearance,Clean,Attempt Saved,Attempt Saved | Save | BallDrive,1,0,home_winning,2894,442,4231,3010,407,true,0,34,0,0,0.37643,549552,1947467,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,18.3,null,null,null,false,false,0,2025_102_2571590_513,null,null,null,null,null,null,null,null
2844199425,2571513_2_289_LaLiga2,2571513,16310,2009432,2025-09-08T19:30:00.000Z,2007990-2009977,2025,102,2,899,5,Out,16310,FC Andorra,Eibar,0,953,16310,Eibar,FC Andorra,470511,Imanol García de Albéniz,Defender,90,54,0,101.5,46.9,1.5,53.1,null,null,16310,0,Out,null,Foot Clearance,Clean,Pass,Pass | Clean Foot Clearance | Out,2,0,home_winning,953,433,442,5454,16310,true,0,289,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_102_2571513_899,null,null,null,null,null,null,null,null
-151589197020827,2571953_1_131_LaLiga2,2571953,187,1970208,2025-08-24T20:30:00.000Z,1969982-1970271,2025,23,1,null,-27,BallDrive,187,Real Oviedo,Real Madrid,1,187,186,Real Oviedo,Real Madrid,151589,Leander Dendoncker,Midfielder,22,42,1,null,null,null,null,72.31,20.32,187,1,Pass,null,Foot Clearance,Clean,Attempt Saved,Attempt Saved | Save | Keeper pick-up,0,0,draw,186,343,4231,1362,187,true,0,131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_23_2571953,null,null,null,null,null,null,null,null
2856648713,2572013_2_258_LaLiga2,2572013,179,1646324,2025-10-05T15:15:00.000Z,1646298-1646346,2025,23,2,660,3,Take On,179,Sevilla,Barcelona,1,179,178,Sevilla,Barcelona,250437,Chidera Ejuke,Forward,95,37,0,30.1,75.6,30.1,75.6,null,null,178,0,Ball recovery,null,Foot Clearance,Clean,Tackle,Tackle | Pass | Pass,3,1,home_winning,178,4231,4231,5737,178,false,1,258,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_23_2572013_660,null,null,null,null,null,null,null,null
2851293969,2571995_2_163_LaLiga2,2571995,178,2084744,2025-09-25T20:30:00.000Z,2084725-2085456,2025,23,2,995,13,Miss,178,Barcelona,Real Oviedo,0,187,178,Real Oviedo,Barcelona,224444,Ferran Torres,Midfielder,80,19,1,81.3,31.9,18.700000000000003,68.1,100,62.0,187,1,Save,null,Foot Clearance,Clean,Out,Out | Out | Pass,1,2,away_winning,187,4231,4411,4819,187,false,1,163,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,0,2025_23_2571995_995,0,0,0,97.5,46.9,0,0.10516103357076645,0.0
